local_key,estado,região,uf,cod_uf,cod_municipio,município,população
AC54ACR,Acre,Região Norte,AC,12,13,Acrelândia,14366
AC55ASS,Acre,Região Norte,AC,12,54,Assis Brasil,6986
AC56BRA,Acre,Região Norte,AC,12,104,Brasiléia,24765
AC57BUJ,Acre,Região Norte,AC,12,138,Bujari,9664
AC58CAP,Acre,Região Norte,AC,12,179,Capixaba,11136
AC59CRU,Acre,Região Norte,AC,12,203,Cruzeiro do Sul,82622
AC60EPI,Acre,Região Norte,AC,12,252,Epitaciolândia,17340
AC61FEI,Acre,Região Norte,AC,12,302,Feijó,32360
AC62JOR,Acre,Região Norte,AC,12,328,Jordão,7858
AC63MÂN,Acre,Região Norte,AC,12,336,Mâncio Lima,17910
AC64MAN,Acre,Região Norte,AC,12,344,Manoel Urbano,8886
AC65MAR,Acre,Região Norte,AC,12,351,Marechal Thaumaturgo,17897
AC66PLÁ,Acre,Região Norte,AC,12,385,Plácido de Castro,18510
AC67POR,Acre,Região Norte,AC,12,393,Porto Walter,11353
AC68RIO,Acre,Região Norte,AC,12,401,Rio Branco,383443
AC69ROD,Acre,Região Norte,AC,12,427,Rodrigues Alves,17945
AC70SAN,Acre,Região Norte,AC,12,435,Santa Rosa do Purus,6230
AC71SEN,Acre,Região Norte,AC,12,450,Senador Guiomard,21552
AC72SEN,Acre,Região Norte,AC,12,500,Sena Madureira,43139
AC73TAR,Acre,Região Norte,AC,12,609,Tarauacá,40024
AC74XAP,Acre,Região Norte,AC,12,708,Xapuri,18174
AC75POR,Acre,Região Norte,AC,12,807,Porto Acre,17459
AL1652ÁGU,Alagoas,Região Nordeste,AL,27,102,Água Branca,20467
AL1653ANA,Alagoas,Região Nordeste,AL,27,201,Anadia,17818
AL1654ARA,Alagoas,Região Nordeste,AL,27,300,Arapiraca,234185
AL1655ATA,Alagoas,Região Nordeste,AL,27,409,Atalaia,47744
AL1656BAR,Alagoas,Região Nordeste,AL,27,508,Barra de Santo Antônio,16064
AL1657BAR,Alagoas,Região Nordeste,AL,27,607,Barra de São Miguel,8401
AL1658BAT,Alagoas,Região Nordeste,AL,27,706,Batalha,18757
AL1659BEL,Alagoas,Região Nordeste,AL,27,805,Belém,4453
AL1660BEL,Alagoas,Região Nordeste,AL,27,904,Belo Monte,6797
AL1661BOC,Alagoas,Região Nordeste,AL,27,1001,Boca da Mata,27590
AL1662BRA,Alagoas,Região Nordeste,AL,27,1100,Branquinha,10675
AL1663CAC,Alagoas,Região Nordeste,AL,27,1209,Cacimbinhas,10897
AL1664CAJ,Alagoas,Região Nordeste,AL,27,1308,Cajueiro,21526
AL1665CAM,Alagoas,Região Nordeste,AL,27,1357,Campestre,7024
AL1666CAM,Alagoas,Região Nordeste,AL,27,1407,Campo Alegre,57548
AL1667CAM,Alagoas,Região Nordeste,AL,27,1506,Campo Grande,9692
AL1668CAN,Alagoas,Região Nordeste,AL,27,1605,Canapi,17983
AL1669CAP,Alagoas,Região Nordeste,AL,27,1704,Capela,17354
AL1670CAR,Alagoas,Região Nordeste,AL,27,1803,Carneiros,9155
AL1671CHÃ,Alagoas,Região Nordeste,AL,27,1902,Chã Preta,7427
AL1672COI,Alagoas,Região Nordeste,AL,27,2009,Coité do Nóia,10888
AL1673COL,Alagoas,Região Nordeste,AL,27,2108,Colônia Leopoldina,21926
AL1674COQ,Alagoas,Região Nordeste,AL,27,2207,Coqueiro Seco,5918
AL1675COR,Alagoas,Região Nordeste,AL,27,2306,Coruripe,57498
AL1676CRA,Alagoas,Região Nordeste,AL,27,2355,Craíbas,24510
AL1677DEL,Alagoas,Região Nordeste,AL,27,2405,Delmiro Gouveia,52597
AL1678DOI,Alagoas,Região Nordeste,AL,27,2504,Dois Riachos,11214
AL1679EST,Alagoas,Região Nordeste,AL,27,2553,Estrela de Alagoas,18435
AL1680FEI,Alagoas,Região Nordeste,AL,27,2603,Feira Grande,22481
AL1681FEL,Alagoas,Região Nordeste,AL,27,2702,Feliz Deserto,4806
AL1682FLE,Alagoas,Região Nordeste,AL,27,2801,Flexeiras,12966
AL1683GIR,Alagoas,Região Nordeste,AL,27,2900,Girau do Ponciano,41279
AL1684IBA,Alagoas,Região Nordeste,AL,27,3007,Ibateguara,15840
AL1685IGA,Alagoas,Região Nordeste,AL,27,3106,Igaci,26022
AL1686IGR,Alagoas,Região Nordeste,AL,27,3205,Igreja Nova,24793
AL1687INH,Alagoas,Região Nordeste,AL,27,3304,Inhapi,18652
AL1688JAC,Alagoas,Região Nordeste,AL,27,3403,Jacaré dos Homens,5356
