anomes,ano,mesnum,mesnome,mesnomeabr,mes_key
Jan/1991,1991,1,Janeiro,Jan,1991Jan
Fev/1991,1991,2,Fevereiro,Fev,1991Fev
Mar/1991,1991,3,Março,Mar,1991Mar
Abr/1991,1991,4,Abril,Abr,1991Abr
Mai/1991,1991,5,Maio,Mai,1991Mai
Jun/1991,1991,6,Junho,Jun,1991Jun
Jul/1991,1991,7,Julho,Jul,1991Jul
Ago/1991,1991,8,Agosto,Ago,1991Ago
Set/1991,1991,9,Setembro,Set,1991Set
Out/1991,1991,10,Outubro,Out,1991Out
Nov/1991,1991,11,Novembro,Nov,1991Nov
Dez/1991,1991,12,Dezembro,Dez,1991Dez
Jan/1992,1992,1,Janeiro,Jan,1992Jan
Fev/1992,1992,2,Fevereiro,Fev,1992Fev
Mar/1992,1992,3,Março,Mar,1992Mar
Abr/1992,1992,4,Abril,Abr,1992Abr
Mai/1992,1992,5,Maio,Mai,1992Mai
Jun/1992,1992,6,Junho,Jun,1992Jun
Jul/1992,1992,7,Julho,Jul,1992Jul
Ago/1992,1992,8,Agosto,Ago,1992Ago
Set/1992,1992,9,Setembro,Set,1992Set
Out/1992,1992,10,Outubro,Out,1992Out
Nov/1992,1992,11,Novembro,Nov,1992Nov
Dez/1992,1992,12,Dezembro,Dez,1992Dez
Jan/1993,1993,1,Janeiro,Jan,1993Jan
Fev/1993,1993,2,Fevereiro,Fev,1993Fev
Mar/1993,1993,3,Março,Mar,1993Mar
Abr/1993,1993,4,Abril,Abr,1993Abr
Mai/1993,1993,5,Maio,Mai,1993Mai
Jun/1993,1993,6,Junho,Jun,1993Jun
Jul/1993,1993,7,Julho,Jul,1993Jul
Ago/1993,1993,8,Agosto,Ago,1993Ago
Set/1993,1993,9,Setembro,Set,1993Set
Out/1993,1993,10,Outubro,Out,1993Out
Nov/1993,1993,11,Novembro,Nov,1993Nov
Dez/1993,1993,12,Dezembro,Dez,1993Dez
Jan/1994,1994,1,Janeiro,Jan,1994Jan
Fev/1994,1994,2,Fevereiro,Fev,1994Fev
