tempo_key,data_completa,ano,mesnum,mesnome,mesnomeabr,dianummes,dianum,dianome,dianomeabr
19910101,1/1/1991,1991,1,Janeiro,Jan,1,3,Terça,Ter
19910102,2/1/1991,1991,1,Janeiro,Jan,2,4,Quarta,Qua
19910103,3/1/1991,1991,1,Janeiro,Jan,3,5,Quinta,Qui
19910104,4/1/1991,1991,1,Janeiro,Jan,4,6,Sexta,Sex
19910105,5/1/1991,1991,1,Janeiro,Jan,5,7,Sábado,Sab
19910106,6/1/1991,1991,1,Janeiro,Jan,6,1,Domingo,Dom
19910107,7/1/1991,1991,1,Janeiro,Jan,7,2,Segunda,Seg
19910108,8/1/1991,1991,1,Janeiro,Jan,8,3,Terça,Ter
19910109,9/1/1991,1991,1,Janeiro,Jan,9,4,Quarta,Qua
19910110,10/1/1991,1991,1,Janeiro,Jan,10,5,Quinta,Qui
19910111,11/1/1991,1991,1,Janeiro,Jan,11,6,Sexta,Sex
19910112,12/1/1991,1991,1,Janeiro,Jan,12,7,Sábado,Sab
19910113,13/01/1991,1991,1,Janeiro,Jan,13,1,Domingo,Dom
19910114,14/01/1991,1991,1,Janeiro,Jan,14,2,Segunda,Seg
19910115,15/01/1991,1991,1,Janeiro,Jan,15,3,Terça,Ter
19910116,16/01/1991,1991,1,Janeiro,Jan,16,4,Quarta,Qua
19910117,17/01/1991,1991,1,Janeiro,Jan,17,5,Quinta,Qui
19910118,18/01/1991,1991,1,Janeiro,Jan,18,6,Sexta,Sex
19910119,19/01/1991,1991,1,Janeiro,Jan,19,7,Sábado,Sab
19910120,20/01/1991,1991,1,Janeiro,Jan,20,1,Domingo,Dom
19910121,21/01/1991,1991,1,Janeiro,Jan,21,2,Segunda,Seg
19910122,22/01/1991,1991,1,Janeiro,Jan,22,3,Terça,Ter
19910123,23/01/1991,1991,1,Janeiro,Jan,23,4,Quarta,Qua
19910124,24/01/1991,1991,1,Janeiro,Jan,24,5,Quinta,Qui
19910125,25/01/1991,1991,1,Janeiro,Jan,25,6,Sexta,Sex
19910126,26/01/1991,1991,1,Janeiro,Jan,26,7,Sábado,Sab
19910127,27/01/1991,1991,1,Janeiro,Jan,27,1,Domingo,Dom
19910128,28/01/1991,1991,1,Janeiro,Jan,28,2,Segunda,Seg
19910129,29/01/1991,1991,1,Janeiro,Jan,29,3,Terça,Ter
